                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0875,                 5.0519,                 1.1047,                      0,                      0,                      0,                      0,                0.97412,                 5.0281,                0.93523,               5.25e-05,               5.25e-05,               5.25e-05
                      2,                 1.0437,                 4.1528,                   1.04,                0.04126,                0.13308,                0.05236,                0.04039,                 1.0034,                 4.4774,                0.94463,             0.00010644,             0.00010644,             0.00010644
                      3,                 1.0524,                 3.2345,                 1.0476,                0.03611,                0.29042,                0.08995,                0.06942,                0.98237,                 4.0137,                 0.9708,             0.00015928,             0.00015928,             0.00015928
                      4,                 1.0694,                 2.8542,                 1.0471,                0.21015,                0.32049,                0.11733,                0.09013,                0.98261,                 3.5257,                0.99549,             0.00021104,             0.00021104,             0.00021104
                      5,                 1.0426,                 2.6112,                 1.0527,                0.76051,                0.11616,                0.15568,                0.11986,                0.97188,                 3.2948,                0.97559,              0.0002401,              0.0002401,              0.0002401
                      6,                 1.0032,                 2.4045,                 1.0309,                 0.6964,                0.12995,                0.18578,                0.13604,                0.99006,                 2.9887,                 1.0119,              0.0002401,              0.0002401,              0.0002401
                      7,                0.98151,                 2.2505,                 1.0151,                0.55758,                0.24981,                0.25426,                0.17688,                 1.0169,                  2.622,                 1.0461,             0.00023763,             0.00023763,             0.00023763
                      8,                0.99462,                 2.1016,                 1.0175,                0.55234,                0.25696,                0.26279,                0.19564,                0.93085,                 2.4819,                  0.977,             0.00023515,             0.00023515,             0.00023515
                      9,                0.98445,                 2.0752,                 1.0268,                0.54134,                0.25041,                 0.2755,                0.19985,                0.99033,                 2.1912,                 1.0121,             0.00023268,             0.00023268,             0.00023268
                     10,                 1.0056,                 1.9329,                 1.0275,                0.66668,                0.23196,                0.32764,                0.22982,                0.98299,                 2.1103,                 1.0088,              0.0002302,              0.0002302,              0.0002302
